id,Name,description,timestamp,begin,end,altitudeMode,tessellate,extrude,visibility,drawOrder,icon,VALUE_sum,Longitude,Latitude
hex_alex_centroids.135,,,,,,,-1,0,-1,,,6e-06,29.628,30.677
hex_alex_centroids.136,,,,,,,-1,0,-1,,,5e-06,29.629,30.664
hex_alex_centroids.137,,,,,,,-1,0,-1,,,0.094775,29.63,30.644
hex_alex_centroids.138,,,,,,,-1,0,-1,,,0.000161,29.636,30.455
hex_alex_centroids.139,,,,,,,-1,0,-1,,,2903.794434,29.623,31.019
hex_alex_centroids.140,,,,,,,-1,0,-1,,,4773.688965,29.623,31.012
hex_alex_centroids.141,,,,,,,-1,0,-1,,,852.247925,29.624,31.005
hex_alex_centroids.142,,,,,,,-1,0,-1,,,0.150485,29.625,30.972
hex_alex_centroids.143,,,,,,,-1,0,-1,,,346.853668,29.626,30.945
hex_alex_centroids.144,,,,,,,-1,0,-1,,,114.747513,29.626,30.938
hex_alex_centroids.145,,,,,,,-1,0,-1,,,53.133362,29.626,30.931
hex_alex_centroids.146,,,,,,,-1,0,-1,,,0.575285,29.627,30.911
hex_alex_centroids.147,,,,,,,-1,0,-1,,,3.6e-05,29.627,30.904
hex_alex_centroids.148,,,,,,,-1,0,-1,,,0.223681,29.627,30.897
hex_alex_centroids.149,,,,,,,-1,0,-1,,,0.187115,29.628,30.89
hex_alex_centroids.150,,,,,,,-1,0,-1,,,4.276423,29.628,30.877
hex_alex_centroids.151,,,,,,,-1,0,-1,,,13.503061,29.628,30.87
hex_alex_centroids.152,,,,,,,-1,0,-1,,,0.81153,29.629,30.863
hex_alex_centroids.153,,,,,,,-1,0,-1,,,0.001775,29.629,30.857
hex_alex_centroids.154,,,,,,,-1,0,-1,,,1.645143,29.629,30.843
hex_alex_centroids.155,,,,,,,-1,0,-1,,,1.38998,29.63,30.836
hex_alex_centroids.156,,,,,,,-1,0,-1,,,141.103851,29.63,30.83
hex_alex_centroids.157,,,,,,,-1,0,-1,,,318.333496,29.63,30.823
